Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace Surface,Garden Surface,Number of facades,Swimming pool,State of building,Garden,Terrace
VBD45519,Ham-sur-Heure-Nalinnes,6120,285000,1,House,Sale,4,170,,0,0,,,4,0,,1,1
VBD45516,Mons,7000,225000,1,MasterHouse,Sale,4,186,,0,0,,54.0,2,0,1,1,0
VBD45484,La Louvire,7100,310000,1,House,Sale,4,300,,0,0,,,2,0,1,1,1
VBD45480,Tournai,7500,115000,,Flat,Sale,1,69,,0,0,,,2,0,,0,0
VBD45479,Tournai,7500,130000,,Flat,Sale,1,52,,0,0,,,2,0,,0,0
VWD15465,Ath,7800,260000,,Flat,Sale,2,110,,0,0,,,1,0,2,0,1
VBD45438,Soignies,7060,149000,1,House,Sale,4,231,,0,0,,135.0,,0,0,1,0
VBD45421,Maurage,7110,177000,1,House,Sale,3,,,0,0,,,2,0,0,1,1
VWD15464,Marquain,7522,245000,1,House,Sale,3,151,1,0,0,25.0,,3,0,2,0,1
VWD15462,Marchienne-au-Pont,6030,42000,1,House,Sale,2,56,,0,0,,,,0,1,0,0
VBD45411,Nimy,7020,850,,Flat,Rent,2,,,0,0,,,,0,,0,0
VWD15459,Tournai,7500,290000,1,House,Sale,4,154,1,0,0,8.0,40.0,2,0,2,1,1
VBD45347,Mont-sur-Marchienne,6032,245000,1,House,Sale,3,120,,0,0,20.0,,2,0,,1,1
VBD45346,Mont-sur-Marchienne,6032,325000,1,House,Sale,4,410,,0,0,,1130.0,3,0,,1,0
VBD45345,Marcinelle,6001,265000,,Flat,Sale,2,97,,0,0,21.0,,4,0,,0,1
VBD45344,Bellecourt,7170,398000,1,House,Sale,5,170,,0,0,35.0,120.0,3,0,,1,1
VBD45343,Thuillies,6536,168000,1,House,Sale,2,104,,0,0,15.0,300.0,2,0,,1,1
VBD45342,Sivry-Rance,6470,570000,1,House,Sale,5,980,,0,0,63.0,400.0,4,0,,1,1
VBD45341,Trazegnies,6183,198000,1,House,Sale,4,250,,0,0,40.0,200.0,2,0,,1,1
VBD45338,Montigny-le-Tilleul,6110,248000,1,Villa,Sale,3,160,,0,0,12.0,300.0,4,0,,1,1
VBD45337,Gilly,6060,238000,1,House,Sale,6,270,,0,0,59.0,,2,0,,0,1
VBD45336,Marcinelle,6001,265000,,Flat,Sale,2,98,,0,0,27.0,,4,0,,0,1
VBD45335,Montigny-le-Tilleul,6110,190000,,Flat,Sale,2,80,,0,0,,,3,0,,0,0
VBD45334,Sivry-Rance,6470,570000,1,House,Sale,5,980,,0,0,63.0,400.0,4,0,,1,1
